index, depots, plants, distance 
695,1903,2,1609.3523394754366 
696,1903,3,78.38571887576035 
697,1903,4,262.13234676720225 
698,1903,5,256.16202237962307 
699,1903,6,258.93869138622813 
700,1903,7,263.2843929304194 
701,1903,8,278.84287435478416 
702,1903,9,923.1881071450273 
703,1903,10,512.3313265434074 
704,1903,11,503.26168746458205 
705,1904,1,1616.1121610983814 
706,1904,2,1616.096191647594 
707,1904,3,85.1756351728129 
708,1904,4,259.8423896088771 
709,1904,5,253.4163390137222 
710,1904,6,256.58559393479106 
711,1904,7,260.95218517459244 
712,1904,8,277.1069337969328 
713,1904,9,929.9940196194101 
714,1904,10,516.0481993451585 
715,1904,11,507.0191881597064 
716,1914,1,1626.855532623009 
717,1914,2,1626.8407712630417 
718,1914,3,99.47577743592397 
719,1914,4,236.3238375238651 
720,1914,5,229.47160829654052 
721,1914,6,233.00240790352316 
722,1914,7,237.38801021629058 
723,1914,8,254.2517361100043 
724,1914,9,944.5264881955102 
725,1914,10,507.06650411569194 
726,1914,11,498.2118629026877 
727,1917,1,1632.7559856065138 
728,1917,2,1632.7416386294599 
729,1917,3,107.29872543376675 
730,1917,4,227.88965382572368 
731,1917,5,220.70159892144372 
732,1917,6,224.52140606893514 
733,1917,7,228.9193853226963 
734,1917,8,246.26728600156088 
735,1917,9,951.7251656380836 
736,1917,10,505.6723094677369 
737,1917,11,496.8964901520841 
738,1976,1,1470.6553977209314 
739,1976,2,1470.6398304174263 
740,1976,3,61.68505010151546 
741,1976,4,315.65464315970064 
742,1976,5,318.28096716772393 
743,1976,6,313.9105166608816 
744,1976,7,317.4339014982106 
745,1976,8,320.67424520341194 
746,1976,9,788.6569779453652 
747,1976,10,427.8113122137183 
748,1976,11,418.1525699580923 
749,1981,1,1469.7232654296045 
750,1981,2,1469.7081044620936 
751,1981,3,64.27770067104227 
752,1981,4,311.02604060284045 
753,1981,5,313.9646576522985 
754,1981,6,309.34131219987523 
755,1981,7,312.82146809502143 
756,1981,8,315.6250183169102 
757,1981,9,789.1849838309241 
758,1981,10,421.42208480322654 
759,1981,11,411.77059453126014 
760,1982,1,1476.4729437625108 
761,1982,2,1476.4578375831047 
762,1982,3,58.18883834737222 
763,1982,4,306.07101315730534 
764,1982,5,308.72733385795846 
765,1982,6,304.3298049041097 
766,1982,7,307.85094305382756 
767,1982,8,311.1126005176924 
768,1982,9,795.9707003033429 
769,1982,10,423.73518905931155 
770,1982,11,414.1061755018649 
771,1987,1,1468.8186872813117 
772,1987,2,1468.8039334631567 
773,1987,3,67.45341568243114 
774,1987,4,306.478371335919 
775,1987,5,309.73756895076394 
776,1987,6,304.8552771129232 
